6060,2021-02-26 06:30:00,TYPE= 0
6908,2021-02-26 06:30:00,TYPE= 0
5682,2021-02-26 06:34:00,TYPE= 0
7388,2021-02-26 06:40:00,TYPE= 0
5678,2021-02-26 06:44:00,TYPE= 0
5678,2021-02-26 06:45:00,TYPE= 0
5477,2021-02-26 06:46:00,TYPE= 0
6161,2021-02-26 06:46:00,TYPE= 0
7039,2021-02-26 06:51:00,TYPE= 0
6882,2021-02-26 06:51:00,TYPE= 0
6882,2021-02-26 06:51:00,TYPE= 0
6289,2021-02-26 06:51:00,TYPE= 0
7393,2021-02-26 06:52:00,TYPE= 0
7971,2021-02-26 06:53:00,TYPE= 0
8261,2021-02-26 06:54:00,TYPE= 0
8376,2021-02-26 06:54:00,TYPE= 0
6715,2021-02-26 06:54:00,TYPE= 0
5216,2021-02-26 06:54:00,TYPE= 0
6777,2021-02-26 06:55:00,TYPE= 0
6131,2021-02-26 06:56:00,TYPE= 0
8038,2021-02-26 06:56:00,TYPE= 0
6084,2021-02-26 06:56:00,TYPE= 0
6084,2021-02-26 06:56:00,TYPE= 0
7641,2021-02-26 06:57:00,TYPE= 0
5392,2021-02-26 06:58:00,TYPE= 0
7784,2021-02-26 06:59:00,TYPE= 0
8040,2021-02-26 07:00:00,TYPE= 0
3478,2021-02-26 07:00:00,TYPE= 0
5136,2021-02-26 07:00:00,TYPE= 0
7945,2021-02-26 07:01:00,TYPE= 0
8045,2021-02-26 07:01:00,TYPE= 0
3912,2021-02-26 07:03:00,TYPE= 0
8114,2021-02-26 07:03:00,TYPE= 0
8291,2021-02-26 07:03:00,TYPE= 0
8291,2021-02-26 07:03:00,TYPE= 0
8145,2021-02-26 07:05:00,TYPE= 0
6893,2021-02-26 07:05:00,TYPE= 0
7342,2021-02-26 07:06:00,TYPE= 0
8299,2021-02-26 07:06:00,TYPE= 0
7995,2021-02-26 07:06:00,TYPE= 0
8316,2021-02-26 07:07:00,TYPE= 0
6117,2021-02-26 07:07:00,TYPE= 0
7965,2021-02-26 07:08:00,TYPE= 0
6778,2021-02-26 07:09:00,TYPE= 0
5665,2021-02-26 07:09:00,TYPE= 0
8315,2021-02-26 07:09:00,TYPE= 0
5757,2021-02-26 07:16:00,TYPE= 0
6128,2021-02-26 07:18:00,TYPE= 0
5669,2021-02-26 07:21:00,TYPE= 0
7016,2021-02-26 07:23:00,TYPE= 0
7387,2021-02-26 07:23:00,TYPE= 0
7868,2021-02-26 07:24:00,TYPE= 0
5484,2021-02-26 07:28:00,TYPE= 0
6711,2021-02-26 07:30:00,TYPE= 0
5666,2021-02-26 07:33:00,TYPE= 0
6887,2021-02-26 07:35:00,TYPE= 0
5678,2021-02-26 08:57:00,TYPE= 1
6893,2021-02-26 09:00:00,TYPE= 1
7385,2021-02-26 09:57:00,TYPE= 1
8040,2021-02-26 11:13:00,TYPE= 1
5484,2021-02-26 11:18:00,TYPE= 1
5392,2021-02-26 12:20:00,TYPE= 1
6060,2021-02-26 13:00:00,TYPE= 1
7387,2021-02-26 13:01:00,TYPE= 1
8315,2021-02-26 13:03:00,TYPE= 1
5669,2021-02-26 13:03:00,TYPE= 1
6084,2021-02-26 13:04:00,TYPE= 1
6084,2021-02-26 13:04:00,TYPE= 1
5665,2021-02-26 13:04:00,TYPE= 1
8376,2021-02-26 13:05:00,TYPE= 1
8261,2021-02-26 13:06:00,TYPE= 1
6161,2021-02-26 13:06:00,TYPE= 1
5757,2021-02-26 13:06:00,TYPE= 1
7641,2021-02-26 13:06:00,TYPE= 1
6128,2021-02-26 13:07:00,TYPE= 1
5477,2021-02-26 13:11:00,TYPE= 1
7388,2021-02-26 13:11:00,TYPE= 1
8038,2021-02-26 13:11:00,TYPE= 1
3912,2021-02-26 13:13:00,TYPE= 1
6777,2021-02-26 13:13:00,TYPE= 1
5682,2021-02-26 13:14:00,TYPE= 1
6131,2021-02-26 13:16:00,TYPE= 1
8045,2021-02-26 13:17:00,TYPE= 1
